entity,thing,type1
Ivica Dačić Biography," Andrea Dačić, Luka Dačić",children
Ivica Dačić Biography, 1989 - University of Belgrade,education
Philip Dormer Stanhope Chesterfield Biography," September 22, 1694",Birthday
Philip Dormer Stanhope Chesterfield Biography, British,Nationality
Philip Dormer Stanhope Chesterfield Biography," 
Political Leaders 

British Men 
",Famous
Philip Dormer Stanhope Chesterfield Biography, Virgo,Sun Sign
Philip Dormer Stanhope Chesterfield Biography, 78,Died At Age
Philip Dormer Stanhope Chesterfield Biography," Philip Stanhope, 4th Earl of Chesterfield",Also Known As
Philip Dormer Stanhope Chesterfield Biography, London,Born in
Philip Dormer Stanhope Chesterfield Biography, British Statesman,Famous as
Philip Dormer Stanhope Chesterfield Biography," Countess of Walsingham, Melusina von der Schulenburg",Spouse/Ex-
Philip Dormer Stanhope Chesterfield Biography," March 24, 1773",Died on
Albert John Luthuli Biography," June 4, 1898",Birthday
Albert John Luthuli Biography, South African,Nationality
Albert John Luthuli Biography," 
Quotes By Albert John Luthuli 

Political Leaders 
",Famous
Albert John Luthuli Biography, Gemini,Sun Sign
Albert John Luthuli Biography, 69,Died At Age
Albert John Luthuli Biography," Bulawayo, Southern Rhodesia",Born in
Albert John Luthuli Biography, President of African National Congress (ANC),Famous as
Albert John Luthuli Biography, African National Congress,political ideology
Albert John Luthuli Biography, Nokukhanya Bhengu,Spouse/Ex-
Albert John Luthuli Biography, John Bunyan Lutuli,father
Albert John Luthuli Biography, Mtonya Gumede,mother
Albert John Luthuli Biography," Albertina Luthuli, Thandeka Luthuli Gcabashe",children
Albert John Luthuli Biography," July 21, 1967",Died on
Albert John Luthuli Biography," Stanger, KwaZulu-Natal, South Africa",place of death
Albert John Luthuli Biography, Nobel Peace Prize (1960)  United Nations Prize in the Field of Human Rights,awards
Barry Morris Goldwater Biography," January 2, 1909",Birthday
Barry Morris Goldwater Biography, American,Nationality
Barry Morris Goldwater Biography," 
Political Leaders 

American Men 
",Famous
Barry Morris Goldwater Biography, Capricorn,Sun Sign
Barry Morris Goldwater Biography, 89,Died At Age
Barry Morris Goldwater Biography, Barry Goldwater,Also Known As
Barry Morris Goldwater Biography, Phoenix,Born in
Barry Morris Goldwater Biography, Former United States Senator,Famous as
Barry Morris Goldwater Biography, Republican Party,political ideology
Barry Morris Goldwater Biography," Margaret Johnson (m. 1934–1985), Susan Shaffer Wechsler (m. 1992–1998)",Spouse/Ex-
Barry Morris Goldwater Biography, Baron M. Goldwater,father
Barry Morris Goldwater Biography, Hattie Josephine Williams,mother
Barry Morris Goldwater Biography," Barry Morris Goldwater Jr., Joanne, Michael, Peggy Jr.",children
Barry Morris Goldwater Biography, Anglican/Episcopalian,religion
Barry Morris Goldwater Biography," May 29, 1998",Died on
Barry Morris Goldwater Biography, Paradise Valley,place of death
Barry Morris Goldwater Biography, Arizona,"City, States, Provinces & Districts"
Barry Morris Goldwater Biography, Republicans,Ideology
Barry Morris Goldwater Biography," Staunton Military Academy, University of Arizona",education
Charles Pelham Villiers Biography," January 3, 1802",Birthday
Charles Pelham Villiers Biography, British,Nationality
Charles Pelham Villiers Biography," 
Political Leaders 

British Men 
",Famous
Charles Pelham Villiers Biography, Capricorn,Sun Sign
Charles Pelham Villiers Biography, 96,Died At Age
Charles Pelham Villiers Biography, London,Born in
Charles Pelham Villiers Biography, Politician,Famous as
Charles Pelham Villiers Biography," January 16, 1898",Died on
Charles Pelham Villiers Biography," St John's College, Cambridge, East India Company College",education
Rezā Shāh Biography," March 15, 1878",Birthday
Rezā Shāh Biography, Iranian,Nationality
Rezā Shāh Biography," 
Political Leaders 

Iranian Men 
",Famous
Rezā Shāh Biography, Pisces,Sun Sign
Rezā Shāh Biography, 66,Died At Age
Rezā Shāh Biography," Rezā Shāh Pahlavi, Rezā Khan",Also Known As
Rezā Shāh Biography, Alasht,Born in
Rezā Shāh Biography, Political figure,Famous as
Rezā Shāh Biography," Maryam Khanum, Tadj ol-Molouk, Turan",Spouse/Ex-
Rezā Shāh Biography, Abbas Ali Khan,father
Rezā Shāh Biography, Noush-Afarin Ayromlou,mother
Rezā Shāh Biography," Abdul Reza Pahlavi, Ahmad Reza Pahlavi, Ali Reza Pahlavi, Ashraf Pahlavi, Fatimeh Pahlavi, Gholam Reza Pahlavi, Hamdamsaltaneh Pahlavi, Mahmud Reza Pahlavi, Mohammad Reza Pahlavi, Shams Pahlavi",children
Rezā Shāh Biography," Shia Islam, Islam, Sunni Islam, Zoroastrianism",religion
Rezā Shāh Biography," July 26, 1944",Died on
Rezā Shāh Biography, Johannesburg,place of death
Rezā Shāh Biography," University of Tehran, Imam Ali University for Army Officers",Founder/Co-Founder
Georges Clémenceau Biography," September 28, 1841",Birthday
André-Marie Mbida Biography," January 1, 1917",Birthday
André-Marie Mbida Biography, Cameroonian,Nationality
André-Marie Mbida Biography," 
Political Leaders 

Capricorn Leaders 
",Famous
André-Marie Mbida Biography, Capricorn,Sun Sign
Georges Clémenceau Biography, French,Nationality
Georges Clémenceau Biography," 
Quotes By Georges Clémenceau 

Prime Ministers 
",Famous
Georges Clémenceau Biography, Libra,Sun Sign
Georges Clémenceau Biography, 88,Died At Age
Georges Clémenceau Biography," Georges Benjamin Clemenceau, Father Victory, The Tiger",Also Known As
Georges Clémenceau Biography," Mouilleron-en-Pareds, Vendee",Born in
Georges Clémenceau Biography, Former French Prime Minister,Famous as
Georges Clémenceau Biography, Mary Plummer,Spouse/Ex-
Georges Clémenceau Biography, Benjamin Clemenceau,father
Georges Clémenceau Biography, Sophie Eucharie Gautreau,mother
Georges Clémenceau Biography, Atheism,religion
Georges Clémenceau Biography," November 24, 1929",Died on
Georges Clémenceau Biography," 16th arrondissement, Paris",place of death
André-Marie Mbida Biography, 62,Died At Age
André-Marie Mbida Biography, Andre-Marie Mbida,Also Known As
André-Marie Mbida Biography, Cameroon,Born in
André-Marie Mbida Biography, Statesman,Famous as
André-Marie Mbida Biography, 1980,Died on
André-Marie Mbida Biography, Democrats,Ideology
Azmin Ali Biography," August 25, 1964",Birthday
Azmin Ali Biography, Malaysian,Nationality
Azmin Ali Biography," 
Political Leaders 

Malaysian Men 
",Famous
Azmin Ali Biography, Virgo,Sun Sign
Azmin Ali Biography," 54 Years, 54 Year Old Males",Age
Azmin Ali Biography," Dato' Seri Mohamed Azmin bin Ali, Mohamed Azmin Ali",Also Known As
Azmin Ali Biography, Singapore,Born in
Azmin Ali Biography, Malaysian Politician,Famous as
Azmin Ali Biography, Political party - PKR – Pakatan Rakyat,political ideology
Azmin Ali Biography, Shamsida Taharin,Spouse/Ex-
Azmin Ali Biography, Ustaz Ali,father
Azmin Ali Biography, Che Tom Yahaya,mother
Azmin Ali Biography, Islam,religion
Azmin Ali Biography, University of Minnesota,education
Mamadou Dia Biography," July 18, 1910",Birthday
Mamadou Dia Biography, Senegalese,Nationality
Mamadou Dia Biography," 
Prime Ministers 

Political Leaders 
",Famous
Mamadou Dia Biography, Cancer,Sun Sign
Mamadou Dia Biography, 98,Died At Age
Mamadou Dia Biography, Senegal,Born in
Mamadou Dia Biography, Politician,Famous as
Mamadou Dia Biography, Senegalese Democratic Bloc,political ideology
Mamadou Dia Biography, Islam,religion
Mamadou Dia Biography," January 25, 2009",Died on
Mamadou Dia Biography, Dakar,place of death
Bill Walker Biography," April 16, 1951",Birthday
Bill Walker Biography, American,Nationality
Bill Walker Biography," 
Political Leaders 

American Men 
",Famous
Bill Walker Biography, Aries,Sun Sign
Bill Walker Biography," 67 Years, 67 Year Old Males",Age
Bill Walker Biography, William M. 'Bill' Walker,Also Known As
Bill Walker Biography," Fairbanks, Territory of Alaska, U.S.",Born in
Bill Walker Biography, 11th Governor of Alaska,Famous as
Bill Walker Biography, 1.67 m,Height
Bill Walker Biography, Donna,Spouse/Ex-
Bill Walker Biography, Ed Walker,father
Bill Walker Biography, Frances Park,mother
Bill Walker Biography," Adam, Jordan, Lindsay, Tessa",children
Bill Walker Biography, Christianity,religion
Bill Walker Biography, Alaska,"City, States, Provinces & Districts"
Bill Walker Biography," $80.3 Million as of January 16, 2017",Net worth
Bill Walker Biography," Lewis and Clark College,, University of Puget Sound",education
Slobodan Milosevic Biography, Sloba,Nick Name
Slobodan Milosevic Biography," August 20, 1941",Birthday
Slobodan Milosevic Biography, Serbian,Nationality
Slobodan Milosevic Biography," 
Presidents 

War Criminals 
",Famous
Slobodan Milosevic Biography, Leo,Sun Sign
Slobodan Milosevic Biography, 64,Died At Age
Slobodan Milosevic Biography, Požarevac,Born in
Slobodan Milosevic Biography, Former President of Serbia & the Federal Republic of Yugoslavia,Famous as
Slobodan Milosevic Biography," Socialist Party of Serbia (after 1990), League of Communists of Yugoslavia (until 1990)",political ideology
Slobodan Milosevic Biography, Atheist,religion
Slobodan Milosevic Biography," March 11, 2006",Died on
Slobodan Milosevic Biography, The Hague,place of death
Slobodan Milosevic Biography," Communists, Socialists",Ideology
Slobodan Milosevic Biography, University of Belgrade's Law School,education
Rafael Leonardo Callejas Romero Biography," November 14, 1943",Birthday
Rafael Leonardo Callejas Romero Biography, Honduran,Nationality
Rafael Leonardo Callejas Romero Biography," 
Presidents 

Political Leaders 
",Famous
Rafael Leonardo Callejas Romero Biography, Scorpio,Sun Sign
Rafael Leonardo Callejas Romero Biography," 75 Years, 75 Year Old Males",Age
Rafael Leonardo Callejas Romero Biography, Tegucigalpa,Born in
Rafael Leonardo Callejas Romero Biography, President of Honduras,Famous as
Rafael Leonardo Callejas Romero Biography, Political party-National Party of Honduras,political ideology
Rafael Leonardo Callejas Romero Biography, Norma Gaborit,Spouse/Ex-
Rafael Leonardo Callejas Romero Biography, Mississippi State University,education
Ralph Regenvanu Biography," September 20, 1970",Birthday
Ralph Regenvanu Biography, Ni-Vanuatu,Nationality
Ralph Regenvanu Biography," 
Anthropologists 

Political Leaders 
",Famous
Ralph Regenvanu Biography, Virgo,Sun Sign
Ralph Regenvanu Biography," 48 Years, 48 Year Old Males",Age
Ralph Regenvanu Biography, Ralph John Regenvanu,Also Known As
Ralph Regenvanu Biography, Malakula Island,Born in
Ralph Regenvanu Biography, Ni-Vanuatu Politician,Famous as
Ralph Regenvanu Biography," Political party - Independent, then Land and Justice Party",political ideology
Ralph Regenvanu Biography, $5.5 billion As of October 2016,Net worth
Ralph Regenvanu Biography, Australian National University,education
Ralph Regenvanu Biography," Painting, Music",Hobbies
Lovemore Madhuku Biography," July 20, 1966",Birthday
Lovemore Madhuku Biography, Zimbabwean,Nationality
Lovemore Madhuku Biography," 
Activists 

Political Leaders 
",Famous
Lovemore Madhuku Biography, Cancer,Sun Sign
Lovemore Madhuku Biography," 52 Years, 52 Year Old Males",Age
Lovemore Madhuku Biography, Zimbabwe,Born in
Lovemore Madhuku Biography, Politician,Famous as
Lovemore Madhuku Biography, National Constitutional Assembly,Founder/Co-Founder
Lovemore Madhuku Biography," University of Zimbabwe, University of Cambridge",education
Luis Alberto Lacalle Biography," July 13, 1941",Birthday
Luis Alberto Lacalle Biography, Uruguayan,Nationality
Luis Alberto Lacalle Biography," 
Presidents 

Political Leaders 
",Famous
Luis Alberto Lacalle Biography, Cancer,Sun Sign
Luis Alberto Lacalle Biography," 77 Years, 77 Year Old Males",Age
Luis Alberto Lacalle Biography, Luis Alberto Lacalle de Herrera,Also Known As
Luis Alberto Lacalle Biography, Montevideo,Born in
Luis Alberto Lacalle Biography, Former President of Uruguay,Famous as
Luis Alberto Lacalle Biography, Political party-National Party (Uruguay),political ideology
Luis Alberto Lacalle Biography, Julia Pou,Spouse/Ex-
Luis Alberto Lacalle Biography, Carlos Pedro Lacalle Nuñez,father
Luis Alberto Lacalle Biography, María Hortensia de Herrera de Lacalle,mother
Luis Alberto Lacalle Biography," Juan José Lacalle Pou, Luis Alberto Lacalle Pou, Manuel Lacalle Pou, Pilar Lacalle Pou",children
Luis Alberto Lacalle Biography, University of the Republic,education
Kim Dae Jung Biography," December 3, 1925",Birthday
Kim Dae Jung Biography, South Korean,Nationality
Kim Dae Jung Biography," 
Nobel Peace Prize 

Political Leaders 
",Famous
Kim Dae Jung Biography, Sagittarius,Sun Sign
Kim Dae Jung Biography, 83,Died At Age
Kim Dae Jung Biography," Haui-do, Sinan, Jeollanam-do, Japanese Korea",Born in
Kim Dae Jung Biography, Former President of South Korea,Famous as
Kim Dae Jung Biography, Democratic Party/Millennium Democratic,political ideology
Kim Dae Jung Biography, Lee Hui-ho,Spouse/Ex-
Kim Dae Jung Biography, Roman catholic,religion
Kim Dae Jung Biography," August 18, 2009",Died on
Kim Dae Jung Biography," Seoul, South Korea",place of death
Kim Dae Jung Biography, 2000 - Nobel Peace Prize,awards
Lech Walesa Biography," September 29, 1943",Birthday
Lech Walesa Biography, Polish,Nationality
Lech Walesa Biography," 
Nobel Peace Prize 

Presidents 
",Famous
Lech Walesa Biography, Libra,Sun Sign
Lech Walesa Biography," 75 Years, 75 Year Old Males",Age
Lech Walesa Biography," Popowo, Gmina Tłuchowo, Poland",Born in
Lech Walesa Biography, Former President of Poland,Famous as
Lech Walesa Biography, Independent/Solidarność,political ideology
Lech Walesa Biography, Danuta Golos,Spouse/Ex-
Lech Walesa Biography, Boleslaw Wałęsa,father
Lech Walesa Biography, Feliksa Kamieńska,mother
Lech Walesa Biography," Anna Wałęsa, Bogdan Wałęsa, Brygida Wałęsa, Jarosław Wałęsa, Magdalena Wałęsa, Maria Wiktoria Wałęsa, Przemysław Wałęsa, Sławomir Wałęsa",children
Lech Walesa Biography, Roman catholic,religion
Lech Walesa Biography, 1983 - Nobel Peace Prize - Kisiel Prize - European Human Rights Prize,awards
Benjamin Nnamdi Azikiwe Biography, Zik,Nick Name
Benjamin Nnamdi Azikiwe Biography," November 16, 1904",Birthday
Benjamin Nnamdi Azikiwe Biography, Nigerian,Nationality
Benjamin Nnamdi Azikiwe Biography," 
Presidents 

Political Leaders 
",Famous
Benjamin Nnamdi Azikiwe Biography, Scorpio,Sun Sign
Benjamin Nnamdi Azikiwe Biography, 91,Died At Age
Benjamin Nnamdi Azikiwe Biography, Nnamdi Azikiwe,Also Known As
Benjamin Nnamdi Azikiwe Biography," Zungeru, Nigeria",Born in
Benjamin Nnamdi Azikiwe Biography, First President of Nigeria,Famous as
Benjamin Nnamdi Azikiwe Biography, Flora Azikiwe,Spouse/Ex-
Benjamin Nnamdi Azikiwe Biography, Obed-Edom Chukwuemeka Azikiwe,father
Benjamin Nnamdi Azikiwe Biography, Rachel Ogbenyeanu Azikiwe,mother
Benjamin Nnamdi Azikiwe Biography," May 11, 1996",Died on
Benjamin Nnamdi Azikiwe Biography," Enugu, Nigeria",place of death
Mikuláš Dzurinda Biography," February 4, 1955",Birthday
Mikuláš Dzurinda Biography, Slovak,Nationality
Mikuláš Dzurinda Biography," 
Prime Ministers 

Political Leaders 
",Famous
Mikuláš Dzurinda Biography, Aquarius,Sun Sign
Mikuláš Dzurinda Biography," 63 Years, 63 Year Old Males",Age
Mikuláš Dzurinda Biography, Mikulas Dzurinda,Also Known As
Mikuláš Dzurinda Biography, Spišský Štvrtok,Born in
Mikuláš Dzurinda Biography, Slovak Politician,Famous as
Mikuláš Dzurinda Biography, 1.7 m,Height
Mikuláš Dzurinda Biography," Political party - Christian Democratic Movement (1990–2000), Democratic Coalition (1998–2002), Democratic and Christian Union-Democratic Party (2000–present) ,",political ideology
Mikuláš Dzurinda Biography, Eva Dzurindová,Spouse/Ex-
Mikuláš Dzurinda Biography, University of Žilina,education
Mikuláš Dzurinda Biography, Long-distance running,Hobbies
Lord Acton Biography," January 10, 1834",Birthday
Lord Acton Biography," German, Italian, British",Nationality
Lord Acton Biography," 
Historians 

Political Leaders 
",Famous
Lord Acton Biography, Capricorn,Sun Sign
Lord Acton Biography, 68,Died At Age
Lord Acton Biography, Sir John Dalberg-Acton,Also Known As
Lord Acton Biography, Italy,Born Country
Lord Acton Biography, Naples,Born in
Lord Acton Biography, Liberal party ,political ideology
Lord Acton Biography, Marie Anna Ludomilla Euphrosyne Arco-Valley,Spouse/Ex-
Lord Acton Biography," Ferdinand Richard Edward Acton - George Leveson,",father
Lord Acton Biography, Marie Louise Pelina von Dalberg,mother
Lord Acton Biography, Mary Elizabeth Anne Dalberg-Acton - Annie Mary Catherine Georgiana Dalberg-Acton - Richard Maximilian Lyon-Dalberg-Acton - John Dalberg Dalberg-Acton ,children
Lord Acton Biography, Roman Catholic,religion
Lord Acton Biography," June 19, 1902",Died on
Lord Acton Biography, Tegernsee,place of death
Lord Acton Biography," St. Mary's College, Oscott",education
Valeriya Novodvorskaya Biography," May 17, 1950",Birthday
Valeriya Novodvorskaya Biography, Russian,Nationality
Valeriya Novodvorskaya Biography," 
Political Leaders 

Political Activists 
",Famous
Valeriya Novodvorskaya Biography, Taurus,Sun Sign
Valeriya Novodvorskaya Biography, 64,Died At Age
Valeriya Novodvorskaya Biography, Baranovichi,Born in
Valeriya Novodvorskaya Biography, Russian Politician,Famous as
Valeriya Novodvorskaya Biography, Democratic Union,political ideology
Valeriya Novodvorskaya Biography, Nina Fyodorovna,mother
Valeriya Novodvorskaya Biography," July 12, 2014",Died on
Valeriya Novodvorskaya Biography, Moscow,place of death
Valeriya Novodvorskaya Biography, Democrats,Ideology
Son Sann Biography," October 5, 1911",Birthday
Son Sann Biography," French, Cambodian",Nationality
Son Sann Biography," 
Political Leaders 

Cambodian Men 
",Famous
Son Sann Biography, Libra,Sun Sign
Son Sann Biography, 89,Died At Age
Son Sann Biography, Cambodia,Born Country
Son Sann Biography, Phnom Penh,Born in
Son Sann Biography, Politician,Famous as
Son Sann Biography, Buddhist Liberal Democratic Party,political ideology
Son Sann Biography, Buddhism,religion
Son Sann Biography," December 19, 2000",Died on
Son Sann Biography, Paris,place of death
Son Sann Biography, Socialists,Ideology
Son Sann Biography, Buddhist Liberal Democratic Party,Founder/Co-Founder
Joaquín Eufrasio Guzmán Biography, 1801,Born
Joaquín Eufrasio Guzmán Biography, Salvadoran,Nationality
Joaquín Eufrasio Guzmán Biography," 
Presidents 

Military Leaders 
",Famous
Joaquín Eufrasio Guzmán Biography, 74,Died At Age
Joaquín Eufrasio Guzmán Biography," Joaquin Eufrasio Guzman, Guzman",Also Known As
Joaquín Eufrasio Guzmán Biography, Cartago,Born in
Joaquín Eufrasio Guzmán Biography, Former President of El Salvador,Famous as
Joaquín Eufrasio Guzmán Biography, Paula Saldos,Spouse/Ex-
Joaquín Eufrasio Guzmán Biography," Adelaida, David Joaquín Guzmán, Enriqueta, Marcelina",children
Joaquín Eufrasio Guzmán Biography, 1875,Died on
Joaquín Eufrasio Guzmán Biography," San Miguel, El Salvador",place of death
Nicanor Duarte Biography," October 11, 1956",Birthday
Nicanor Duarte Biography, Paraguayan,Nationality
Nicanor Duarte Biography," 
Presidents 

Political Leaders 
",Famous
Nicanor Duarte Biography, Libra,Sun Sign
Nicanor Duarte Biography," 62 Years, 62 Year Old Males",Age
Nicanor Duarte Biography, Óscar Nicanor Duarte Frutos,Also Known As
Nicanor Duarte Biography, Coronel Oviedo,Born in
Nicanor Duarte Biography, Paraguayan Politician,Famous as
Nicanor Duarte Biography, María Gloria Penayo Solaeche,Spouse/Ex-
John Davis Long Biography," October 27, 1838",Birthday
John Davis Long Biography, American,Nationality
John Davis Long Biography," 
Lawyers 

Political Leaders 
",Famous
John Davis Long Biography, Scorpio,Sun Sign
John Davis Long Biography, 76,Died At Age
John Davis Long Biography, John D. Long,Also Known As
John Davis Long Biography," Buckfield, Maine",Born in
John Davis Long Biography," Lawyer, Politician & Writer",Famous as
John Davis Long Biography, Republican Party,political ideology
John Davis Long Biography, Agnes Pierce,Spouse/Ex-
John Davis Long Biography, Zadoc Long,father
John Davis Long Biography, Julia Temple (Davis) Long,mother
John Davis Long Biography," Helen Long, Margaret Long, Pierce Long",children
John Davis Long Biography," August 28, 1915",Died on
John Davis Long Biography," Hingham, Massachusetts",place of death
John Davis Long Biography, Maine,"City, States, Provinces & Districts"
John Davis Long Biography, Republicans,Ideology
John Davis Long Biography, Harvard University,education
Lincoln Davis Biography," September 13, 1943",Birthday
Lincoln Davis Biography, American,Nationality
Lincoln Davis Biography," 
Political Leaders 

American Men 
",Famous
Lincoln Davis Biography, Virgo,Sun Sign
Lincoln Davis Biography," 75 Years, 75 Year Old Males",Age
Lincoln Davis Biography, Lincoln Edward Davis,Also Known As
Lincoln Davis Biography, Pall Mall,Born in
Lincoln Davis Biography, Former U.S. Representative,Famous as
Lincoln Davis Biography, Democratic,political ideology
Lincoln Davis Biography, Lynda Davis,Spouse/Ex-
Lincoln Davis Biography," Larissa Davis, Libby Davis, Lynn Davis",children
Lincoln Davis Biography, Baptist,religion
Lincoln Davis Biography, Democrats,Ideology
Lincoln Davis Biography," Diversified Construction Co.,",Founder/Co-Founder
Lincoln Davis Biography, Tennessee Technological University,education
Nariman Narimanov Biography," April 2, 1870",Birthday
Nariman Narimanov Biography, Azerbaijani,Nationality
Nariman Narimanov Biography," 
Political Leaders 

Azerbaijani Men 
",Famous
Nariman Narimanov Biography, Aries,Sun Sign
David Dubinsky Biography," February 22, 1892",Birthday
David Dubinsky Biography, American,Nationality
David Dubinsky Biography," 
Political Leaders 

American Men 
",Famous
Nariman Narimanov Biography, 54,Died At Age
Nariman Narimanov Biography, Tbilisi,Born in
Nariman Narimanov Biography, Politician,Famous as
Nariman Narimanov Biography," Islam, Atheism, Shia Islam",religion
Nariman Narimanov Biography," March 19, 1925",Died on
Nariman Narimanov Biography, Moscow,place of death
Nariman Narimanov Biography, Transcaucasian Teachers Seminary,education
Lord North Biography," April 13, 1732",Birthday
Lord North Biography, British,Nationality
Lord North Biography," 
Prime Ministers 

Political Leaders 
",Famous
Lord North Biography, Aries,Sun Sign
Lord North Biography, 60,Died At Age
David Dubinsky Biography, Pisces,Sun Sign
David Dubinsky Biography, 90,Died At Age
David Dubinsky Biography, Brest,Born in
David Dubinsky Biography, Political leader,Famous as
David Dubinsky Biography," September 17, 1982",Died on
David Dubinsky Biography, Socialists,Ideology
David Dubinsky Biography, He was member of the ‘Labor League for Human Rights’., Humanitarian Work
Lord North Biography," Frederick North, 2nd Earl of Guilford",Also Known As
Lord North Biography, Piccadilly,Born in
Lord North Biography, Tory,political ideology
Lord North Biography, Anne Speke North,Spouse/Ex-
Lord North Biography," Francis North, 1st Earl of Guilford",father
Lord North Biography, Lady Lucy Montagu,mother
Lord North Biography," 3rd Earl of Guilford, 4th Earl of Guilford, 5th Earl of Guilford, Francis North, Frederick North, George North",children
Lord North Biography," August 5, 1792",Died on
Lord North Biography, Grosvenor Square,place of death
Lord North Biography," Trinity College, Oxford, Eton College",education
Salvador Jorge Blanco Biography," July 5, 1926",Birthday
Salvador Jorge Blanco Biography, Dominican,Nationality
Salvador Jorge Blanco Biography," 
Presidents 

Political Leaders 
",Famous
Salvador Jorge Blanco Biography, Cancer,Sun Sign
Salvador Jorge Blanco Biography, 84,Died At Age
Salvador Jorge Blanco Biography, Santiago de los Caballeros,Born in
Salvador Jorge Blanco Biography, Former President of the Dominican Republic,Famous as
Salvador Jorge Blanco Biography, Political party - Revolutionary,political ideology
Salvador Jorge Blanco Biography," December 26, 2010",Died on
Salvador Jorge Blanco Biography, Santo Domingo,place of death
Salvador Jorge Blanco Biography, Accident,Cause of Death
Salvador Jorge Blanco Biography, Republicans,Ideology
Alexandre Auguste Ledru-Rollin Biography," February 2, 1807",Birthday
Alexandre Auguste Ledru-Rollin Biography, French,Nationality
Alexandre Auguste Ledru-Rollin Biography," 
Political Leaders 

French Men 
",Famous
Alexandre Auguste Ledru-Rollin Biography, Aquarius,Sun Sign
Alexandre Auguste Ledru-Rollin Biography, 67,Died At Age
Alexandre Auguste Ledru-Rollin Biography, Paris,Born in
Alexandre Auguste Ledru-Rollin Biography, French Politician,Famous as
Alexandre Auguste Ledru-Rollin Biography," Political writer, Member of the Executive Commission",political ideology
Alexandre Auguste Ledru-Rollin Biography," December 31, 1874",Died on
Alexandre Auguste Ledru-Rollin Biography, Fontenay-aux-Roses,place of death
Krishna Prasad Bhattarai Biography," December 24, 1924",Birthday
Krishna Prasad Bhattarai Biography, Nepalese,Nationality
Krishna Prasad Bhattarai Biography," 
Prime Ministers 

Political Leaders 
",Famous
Krishna Prasad Bhattarai Biography, Capricorn,Sun Sign
Krishna Prasad Bhattarai Biography, 86,Died At Age
Krishna Prasad Bhattarai Biography," Бхаттараи, Кришна Прасад",Also Known As
Krishna Prasad Bhattarai Biography," Varanasi, India",Born in
Krishna Prasad Bhattarai Biography, Former Prime Minister of Nepal,Famous as
Krishna Prasad Bhattarai Biography, Sankata Pd. Bhattarai,father
Krishna Prasad Bhattarai Biography, Lalita Devi,mother
Krishna Prasad Bhattarai Biography, Hinduism,religion
Krishna Prasad Bhattarai Biography," March 4, 2011",Died on
Krishna Prasad Bhattarai Biography," Kathmandu, Nepal",place of death
Krishna Prasad Bhattarai Biography, Co-founder of Nepali Congress,Founder/Co-Founder
Muhammad Ali Bogra Biography," October 19, 1909",Birthday
Muhammad Ali Bogra Biography, Pakistani,Nationality
Muhammad Ali Bogra Biography," 
Prime Ministers 

Political Leaders 
",Famous
Muhammad Ali Bogra Biography, Libra,Sun Sign
Muhammad Ali Bogra Biography, 53,Died At Age
Muhammad Ali Bogra Biography, Mohammed Ali,Also Known As
Muhammad Ali Bogra Biography, Bogra,Born in
Muhammad Ali Bogra Biography, Former Prime Minister of Pakistan,Famous as
Muhammad Ali Bogra Biography, Political party-Muslim League,political ideology
Muhammad Ali Bogra Biography," Aliya Saddy in 1955, Begum Hamida Mohammad Ali",Spouse/Ex-
Muhammad Ali Bogra Biography," Sunni Islam, Islam, Shia Islam",religion
Muhammad Ali Bogra Biography," July 15, 1963",Died on
Muhammad Ali Bogra Biography, Bogra,place of death
Muhammad Ali Bogra Biography, University of Calcutta,education
Raymond Barre Biography," April 12, 1924",Birthday
Raymond Barre Biography, French,Nationality
Raymond Barre Biography," 
Prime Ministers 

Political Leaders 
",Famous
Raymond Barre Biography, Aries,Sun Sign
Raymond Barre Biography, 83,Died At Age
Raymond Barre Biography," St-Denis, France",Born in
Raymond Barre Biography, Former Prime Minister of France,Famous as
Raymond Barre Biography, Eva Hegedus,Spouse/Ex-
Raymond Barre Biography," Nicolas, Oliver",children
Raymond Barre Biography, Catholicism,religion
Raymond Barre Biography," August 25, 2007",Died on
Raymond Barre Biography," Paris, France",place of death
Raymond Barre Biography, Sciences Po,education
General Aung San Biography," February 13, 1915",Birthday
General Aung San Biography, Burmese,Nationality
General Aung San Biography," 
Political Leaders 

Burmese Leaders 
",Famous
General Aung San Biography, Aquarius,Sun Sign
General Aung San Biography, 32,Died At Age
General Aung San Biography, Politician,Famous as
General Aung San Biography," July 19, 1947",Died on
General Aung San Biography, Assassination,Cause of Death
George Clinton Biography," July 26, 1739",Birthday
George Clinton Biography, American,Nationality
George Clinton Biography," 
African Americans 

Political Leaders 
",Famous
George Clinton Biography, Leo,Sun Sign
George Clinton Biography, 72,Died At Age
George Clinton Biography, George Edward Clinton,Also Known As
George Clinton Biography, Little Britain,Born in
George Clinton Biography, Fourth Vice President of the U.S.A,Famous as
George Clinton Biography, 1.75 m,Height
George Clinton Biography, Cornelia Tappen,Spouse/Ex-
George Clinton Biography, James Clinton,siblings
George Clinton Biography, Presbyterianism,religion
George Clinton Biography," April 20, 1812",Died on
George Clinton Biography," Washington, D.C.",place of death
Surin Pitsuwan Biography," October 28, 1949",Birthday
Surin Pitsuwan Biography, Thai,Nationality
Surin Pitsuwan Biography," 
Diplomats 

Political Leaders 
",Famous
Surin Pitsuwan Biography, Scorpio,Sun Sign
Surin Pitsuwan Biography, 68,Died At Age
Surin Pitsuwan Biography, Surin Abdul Halim bin Ismail Pitsuwan,Also Known As
