entity,thing,typee
Stephen Douglas Biography, Sarah,siblings
Stephen Douglas Biography," Ellen, Jr., rnold Douglas, Robert Martin Douglas, Stephen A",children
Ľudovít Štúr Biography, Samuel Štúr,father
Ľudovít Štúr Biography, Anna Štúrová,mother
Ľudovít Štúr Biography," Janko Štúr, Karol Štúr, Karolína Štúrová, Samuel Štúr",siblings
Ernesto Cardenal Biography, Rodolfo Cardenal,father
Ernesto Cardenal Biography, Esmerelda Martinez,mother
Ernesto Cardenal Biography, Fernando Cardenal,siblings
Bob Wise Biography, Sandra Casber Wise,Spouse/Ex-
John Dramani Mahama Biography, Lordina Mahama,Spouse/Ex-
John Dramani Mahama Biography, Emmanuel Adama Mahama,father
John Dramani Mahama Biography, Ibrahim Mahama,siblings
John Dramani Mahama Biography," Farida Mahama, Jesse Mahama",children
Ivan Gašparovič Biography, Silvia Gašparovičová,Spouse/Ex-
Ivan Gašparovič Biography, Vladimir Gašparović,father
Ivan Gašparovič Biography," Denisa Gašparovičová, Ivo Gašparovič",children
Mustafa Tlass Biography, Abdul Qadir Tlass,father
Mustafa Tlass Biography," Firas Tlass, Manaf Tlass",children
F D Roosevelt Biography, Eleanor,Spouse/Ex-
F D Roosevelt Biography, James Roosevelt,father
F D Roosevelt Biography, Sara Ann Delano,mother
F D Roosevelt Biography," Anna E. Roosevelt, Elliott Roosevelt, Franklin Delano Roosevelt Jr., Franklin Jr., James Roosevelt, John Aspinwall Roosevelt",children
Liadh Ni Riada Biography," Nicky Forde (m. 2012), Fiachra Ó hAodha (m. 1996; d. 1997)",Spouse/Ex-
Liadh Ni Riada Biography, Seán Ó Riada,father
Recep Tayyip Erdoğan Biography, Emine Erdoğan,Spouse/Ex-
Recep Tayyip Erdoğan Biography, Ahmet Erdoğan,father
Recep Tayyip Erdoğan Biography, Tenzile Erdoğan,mother
Recep Tayyip Erdoğan Biography," Ahmet Burak Erdoğan, Esra Erdoğan, Necmettin Bilal Erdoğan, Sümeyye Erdoğan",children
Baburam Bhattarai Biography, Hisila Yami,Spouse/Ex-
Baburam Bhattarai Biography, Manushi Bhattarai,children
Park-Chung-hee Biography," Kim Ho Nam (m. 1936–1950), Yuk Young-soo (m. 1950–1974)",Spouse/Ex-
Park-Chung-hee Biography," Park Dong-hee, Park Gwi-hee, Park Jae-hee, Park Moo-hee, Park Sang-hee",siblings
Park-Chung-hee Biography, Park Jae-ok Park Geun-hye Park Geun-ryoung Park Ji-man,children
Dalia Grybauskaitė Biography, Polikarpas Grybauskas,father
Dalia Grybauskaitė Biography, Vitalija Korsakaitė,mother
Joaquin Balaguer Biography, None,Spouse/Ex-
Joaquin Balaguer Biography, Joaquín Balaguer Lespier,father
Joaquin Balaguer Biography, Carmen Celia Ricardo,mother
Beto O’Rourke Biography, Amy Hoover Sanders (m. 2005),Spouse/Ex-
Sebastian Pinera Biography, Cecilia Morel,Spouse/Ex-
Sebastian Pinera Biography, José Piñera Carvallo,father
Sebastian Pinera Biography, Magdalena Echenique Rozas,mother
Sebastian Pinera Biography," Guadalupe Piñera, José Piñera, Magdalena Piñera, Miguel Piñera, Pablo Piñera",siblings
Sebastian Pinera Biography," Cecilia Piñera, Cristobal Piñera, Magdalena Piñera, Sebastian Piñera",children
Alfred Emanuel Smith Biography, Catherine Ann Dunn,Spouse/Ex-
Alfred Emanuel Smith Biography, Alfred E. Smith,father
Alfred Emanuel Smith Biography, Catherine Mulvihill,mother
Alfred Emanuel Smith Biography," Alfred Smith, Jr.",children
Alan Perez Biography," Carla Buscaglia, Pilar Nores",Spouse/Ex-
Alan Perez Biography, Carlos García Ronceros,father
Alan Perez Biography, Pilar Nores,mother
Hassan Sheikh Mohamoud Biography," Qamar Cali, Sahro Cumar Xasan",Spouse/Ex-
Mark Kennedy Biography, Debbie Kennedy,Spouse/Ex-
Vladimír Mečiar Biography, Margarita Mečiar,Spouse/Ex-
Vladimír Mečiar Biography, Anna Mečiarová,mother
Alija Izetbegovic Biography, Halida Repovac,Spouse/Ex-
Alija Izetbegovic Biography, Bakir Izetbegović,children
Paul Simon (Politician) Biography," Jeanne Hurley Simon, Patricia Derge",Spouse/Ex-
Paul Simon (Politician) Biography, Martin Simon,father
Paul Simon (Politician) Biography, Ruth Tolzmann,mother
Paul Simon (Politician) Biography, Arthur Simon,siblings
Paul Simon (Politician) Biography," Martin Simon, Sheila Simon",children
Traian Băsescu Biography, Maria Băsescu,Spouse/Ex-
Traian Băsescu Biography, Dumitru Băsescu,father
Traian Băsescu Biography, Elena Băsescu,mother
Traian Băsescu Biography, Mircea Băsescu,siblings
Traian Băsescu Biography," Elena Băsescu, Ioana Băsescu",children
C.P. Scott Biography, Rachel Cook,Spouse/Ex-
C.P. Scott Biography, Russell Scott,father
C.P. Scott Biography," Edward Taylor Scott, John Russell Scott, Laurence Scott, Madeline Scott",children
János Áder Biography, Anita Herczegh,Spouse/Ex-
János Áder Biography, János Áder,father
János Áder Biography, Terézia Szabó,mother
János Áder Biography," Áder András, Áder Borbála, Áder Julia, Áder Orsolya",children
Ljubčo Georgievski Biography, Snežana Georgievska,Spouse/Ex-
Ljubčo Georgievski Biography, Lav Georgievski,children
Alexander Dubcek Biography, Anna Ondrišová (m. 1945–1992),Spouse/Ex-
Alexander Dubcek Biography," Milan Dubček, Pavol Dubček, Peter Dubček",children
Éamon de Valera Biography, Sinéad de Valera,Spouse/Ex-
Éamon de Valera Biography, Juan Vivion de Valera,father
Éamon de Valera Biography, Catherine Coll,mother
Éamon de Valera Biography, Vivion de Valera,children
Shinzō Abe Biography, Akie Abe,Spouse/Ex-
Shinzō Abe Biography, Shintaro Abe,father
Shinzō Abe Biography, Yoko Abe,mother
Shinzō Abe Biography," Hironobu Abe, Nobuo Kishi",siblings
Barry Morris Goldwater Biography," Margaret Johnson (m. 1934–1985), Susan Shaffer Wechsler (m. 1992–1998)",Spouse/Ex-
Barry Morris Goldwater Biography, Baron M. Goldwater,father
Barry Morris Goldwater Biography, Hattie Josephine Williams,mother
Barry Morris Goldwater Biography," Barry Morris Goldwater Jr., Joanne, Michael, Peggy Jr.",children
Ivica Dačić Biography, Sanja Dačić,Spouse/Ex-
Ivica Dačić Biography, Desimir Dačić,father
Ivica Dačić Biography, Jelisaveta Dačić,mother
Ivica Dačić Biography, Emica Dačić,siblings
Ivica Dačić Biography," Andrea Dačić, Luka Dačić",children
Philip Dormer Stanhope Chesterfield Biography," Countess of Walsingham, Melusina von der Schulenburg",Spouse/Ex-
Yoshiro Mori Biography, Chieko Maki,Spouse/Ex-
Yoshiro Mori Biography, Shigeki Mori,father
Yoshiro Mori Biography, Kaoru,mother
Yoshiro Mori Biography, Akiko,siblings
Yoshiro Mori Biography," Yoko, Yuki",children
Rezā Shāh Biography," Maryam Khanum, Tadj ol-Molouk, Turan",Spouse/Ex-
Rezā Shāh Biography, Abbas Ali Khan,father
Rezā Shāh Biography, Noush-Afarin Ayromlou,mother
Rezā Shāh Biography," Abdul Reza Pahlavi, Ahmad Reza Pahlavi, Ali Reza Pahlavi, Ashraf Pahlavi, Fatimeh Pahlavi, Gholam Reza Pahlavi, Hamdamsaltaneh Pahlavi, Mahmud Reza Pahlavi, Mohammad Reza Pahlavi, Shams Pahlavi",children
"Paul Martin, Sr Biography", Eleanor Alice Adams,Spouse/Ex-
"Paul Martin, Sr Biography", Joseph Philippe Ernest Martin,father
"Paul Martin, Sr Biography", Lumina,mother
"Paul Martin, Sr Biography"," Junior, Paul Martin",children
Kolinda Grabar-Kitarović Biography, Jakov Kitarović (m. 1996),Spouse/Ex-
Kolinda Grabar-Kitarović Biography," Katarina Kitarović, Luka Kitarović",children
Andrew Bonar Law Biography, Annie Bonar Law,Spouse/Ex-
Andrew Bonar Law Biography, James Law,father
Andrew Bonar Law Biography, Eliza Kidston Law,mother
Andrew Bonar Law Biography," 1st Baron Coleraine, Richard Law",children
John Pippy Biography, Kathy Pippy,Spouse/Ex-
John Pippy Biography, Katelyn Pippy,children
Albert John Luthuli Biography, Nokukhanya Bhengu,Spouse/Ex-
Albert John Luthuli Biography, John Bunyan Lutuli,father
Albert John Luthuli Biography, Mtonya Gumede,mother
Albert John Luthuli Biography," Albertina Luthuli, Thandeka Luthuli Gcabashe",children
Georges Clémenceau Biography, Mary Plummer,Spouse/Ex-
Georges Clémenceau Biography, Benjamin Clemenceau,father
Georges Clémenceau Biography, Sophie Eucharie Gautreau,mother
Azmin Ali Biography, Shamsida Taharin,Spouse/Ex-
Azmin Ali Biography, Ustaz Ali,father
Azmin Ali Biography, Che Tom Yahaya,mother
Bill Walker Biography, Donna,Spouse/Ex-
Bill Walker Biography, Ed Walker,father
Bill Walker Biography, Frances Park,mother
Bill Walker Biography," Adam, Jordan, Lindsay, Tessa",children
Kim Dae Jung Biography, Lee Hui-ho,Spouse/Ex-
Lech Walesa Biography, Danuta Golos,Spouse/Ex-
Lech Walesa Biography, Boleslaw Wałęsa,father
Lech Walesa Biography, Feliksa Kamieńska,mother
Lech Walesa Biography," Anna Wałęsa, Bogdan Wałęsa, Brygida Wałęsa, Jarosław Wałęsa, Magdalena Wałęsa, Maria Wiktoria Wałęsa, Przemysław Wałęsa, Sławomir Wałęsa",children
Mikuláš Dzurinda Biography, Eva Dzurindová,Spouse/Ex-
Benjamin Nnamdi Azikiwe Biography, Flora Azikiwe,Spouse/Ex-
Benjamin Nnamdi Azikiwe Biography, Obed-Edom Chukwuemeka Azikiwe,father
Benjamin Nnamdi Azikiwe Biography, Rachel Ogbenyeanu Azikiwe,mother
Lord Acton Biography, Marie Anna Ludomilla Euphrosyne Arco-Valley,Spouse/Ex-
Lord Acton Biography," Ferdinand Richard Edward Acton - George Leveson,",father
Lord Acton Biography, Marie Louise Pelina von Dalberg,mother
Lord Acton Biography, Mary Elizabeth Anne Dalberg-Acton - Annie Mary Catherine Georgiana Dalberg-Acton - Richard Maximilian Lyon-Dalberg-Acton - John Dalberg Dalberg-Acton ,children
Rafael Leonardo Callejas Romero Biography, Norma Gaborit,Spouse/Ex-
Luis Alberto Lacalle Biography, Julia Pou,Spouse/Ex-
Luis Alberto Lacalle Biography, Carlos Pedro Lacalle Nuñez,father
Luis Alberto Lacalle Biography, María Hortensia de Herrera de Lacalle,mother
Luis Alberto Lacalle Biography," Juan José Lacalle Pou, Luis Alberto Lacalle Pou, Manuel Lacalle Pou, Pilar Lacalle Pou",children
Valeriya Novodvorskaya Biography, Nina Fyodorovna,mother
Nicanor Duarte Biography, María Gloria Penayo Solaeche,Spouse/Ex-
John Davis Long Biography, Agnes Pierce,Spouse/Ex-
John Davis Long Biography, Zadoc Long,father
John Davis Long Biography, Julia Temple (Davis) Long,mother
John Davis Long Biography," Helen Long, Margaret Long, Pierce Long",children
Joaquín Eufrasio Guzmán Biography, Paula Saldos,Spouse/Ex-
Joaquín Eufrasio Guzmán Biography," Adelaida, David Joaquín Guzmán, Enriqueta, Marcelina",children
Lincoln Davis Biography, Lynda Davis,Spouse/Ex-
Lincoln Davis Biography," Larissa Davis, Libby Davis, Lynn Davis",children
Lord North Biography, Anne Speke North,Spouse/Ex-
Lord North Biography," Francis North, 1st Earl of Guilford",father
Lord North Biography, Lady Lucy Montagu,mother
Lord North Biography," 3rd Earl of Guilford, 4th Earl of Guilford, 5th Earl of Guilford, Francis North, Frederick North, George North",children
Muhammad Ali Bogra Biography," Aliya Saddy in 1955, Begum Hamida Mohammad Ali",Spouse/Ex-
Raymond Barre Biography, Eva Hegedus,Spouse/Ex-
Raymond Barre Biography," Nicolas, Oliver",children
Krishna Prasad Bhattarai Biography, Sankata Pd. Bhattarai,father
Krishna Prasad Bhattarai Biography, Lalita Devi,mother
James Douglas Biography, Amelia Connolly,Spouse/Ex-
James Douglas Biography, John Douglas,father
James Douglas Biography," Martha Ann Tefler, or",mother
James Douglas Biography, Cecilia,children
Holden Roberto Biography, Garcia Diasiwa Roberto,father
Holden Roberto Biography, Joana Lala Nekaka,mother
George Clinton Biography, Cornelia Tappen,Spouse/Ex-
George Clinton Biography, James Clinton,siblings
Surin Pitsuwan Biography, Alisa Pitsuwan,Spouse/Ex-
Surin Pitsuwan Biography," Frickli Pitsuwan, Hussani Pitsuwan, Muhammad Fuake Pitsuwan",children
Yiannis Boutaris Biography, Athina Michael,Spouse/Ex-
Yiannis Boutaris Biography, Stelios Boutaris,father
Yiannis Boutaris Biography, Fani Misiou,mother
Yiannis Boutaris Biography, Konstantinos Boutaris,siblings
Yiannis Boutaris Biography," Fanny Boutaris, Michalis Boutaris, Stelios Boutaris",children
Algirdas Brazauskas Biography," Julija Brazauskienė, Kristina Brazauskienė",Spouse/Ex-
Algirdas Brazauskas Biography, Kazimieras Brazauskas,father
Algirdas Brazauskas Biography, Sofija Perezilevičiūtė-Brazauskienė,mother
Oscar Arias Sanchez Biography, Suzanne Fischel (m. 2012),Spouse/Ex-
Oscar Arias Sanchez Biography, Juan Arias Sanchez,father
Oscar Arias Sanchez Biography, Lillyan Arias Sanchez,mother
Oscar Arias Sanchez Biography," Óscar Felipe Arias Penón, Silvia Eugenia Arias Penón",children
Sun Yat Sen Biography," Lu Muzhen, Soong Ching-ling",Spouse/Ex-
Sun Yat Sen Biography, Sun Dacheng,father
Sun Yat Sen Biography, Madam Yang,mother
Sun Yat Sen Biography," Deyou, Jinxing, Miaoxi, Qiuqi, Sun Mei",siblings
Sun Yat Sen Biography, Sun Ke,children
Bruce Fairchild Barton Biography, Esther M. Randall,Spouse/Ex-
Bruce Fairchild Barton Biography," Betsey Barton, Bruce Barton Jr., Randall Barton",children
Bamir Topi Biography, Teuta Topi,Spouse/Ex-
Bamir Topi Biography," Etida Topi, Nada Topi",children
Matthew Thornton Biography, Hannah Jack,Spouse/Ex-
Matthew Thornton Biography, James Thornton,father
Matthew Thornton Biography, Elizabeth Malone,mother
William A. Marovitz Biography, Christie Hefner (1995–2013),Spouse/Ex-
William Ellery Biography," Abigail Cary, Ann Remington",Spouse/Ex-
William Ellery Biography, William Ellery Sr,father
William Ellery Biography, Elizabeth Almy,mother
Laisenia Qarase Biography, Leba Qarase,Spouse/Ex-
Edgar Savisaar Biography, Vilja Savisaar-Toomast,Spouse/Ex-
Edgar Savisaar Biography, Elmar Savisaar,father
Edgar Savisaar Biography, Maria Burešin,mother
Blaise Diagne Biography," Adolphe, Raoul Diagne",children
Mireya Moscoso Biography," Arnulfo Arias, Ricardo Gruber",Spouse/Ex-
Mireya Moscoso Biography, Ruby Moscoso de Young,siblings
William Hooper Biography, Anne Clark,Spouse/Ex-
William Hooper Biography, William Hooper,father
William Hooper Biography, Mary Dennie,mother
William Hooper Biography," Elizabeth, William",children
Francisco Flores Pérez Biography, Lourdes Rodríguez de Flores,Spouse/Ex-
Francisco Flores Pérez Biography," Gabriela, Juan Marcos",children
Martín Torrijos Biography, Vivian Fernández,Spouse/Ex-
Arnoldo Alemán Biography," Maria Dolores Cardenal Vargas, Maria Fernanda Flores Lanzas",Spouse/Ex-
Raul Castro Biography," Maria Argota, Vilma Espín",Spouse/Ex-
Raul Castro Biography, Ángel Castro,father
Raul Castro Biography, Lina Ruz,mother
Raul Castro Biography," Agustina, Angela, Antonia, Emma, Fidel, Georgina, Juanita, Manuel, Maria Lidia, Pedro Emilio, Ramón",siblings
Raul Castro Biography," Alejandro, Deborah, Mariela, Nilsa",children
Michel Debré Biography, Robert Debré,father
Michel Debré Biography," Bernard Debré, Jean-Louis Debré",children
Enrique Bolaños Biography, Lila T. Abaunza,Spouse/Ex-
Charles Taylor Biography, Jewel Taylor,Spouse/Ex-
Charles Taylor Biography, Nelson Taylor,father
Charles Taylor Biography, Bernice Taylor,mother
Charles Taylor Biography," Beuford Jensen Taylor, Camille Grace Taylor, Charal Gina Taylor, Charen Zally Taylor, Charles McArther Emmanuel, Charlyne Adrina Taylor, Charmaine Taylor, Gritchawn Taylor, Phillip Charles Taylor, Silvia Zoe Taylor",children
Enid Lyons Biography, Joseph Lyons,Spouse/Ex-
Enid Lyons Biography," Barry Lyons, Brendan Lyons, Desmond Lyons, Enid Lyons, Garnet Lyons, Kathleen Lyons, Kevin Lyons, Moira Lyons, Rosemary Lyons, Sheila Lyons",children
Altaf Hussain Biography, Faiza Altaf,Spouse/Ex-
Altaf Hussain Biography, Nazir Hussain,father
Altaf Hussain Biography, Khurseed Begum,mother
Altaf Hussain Biography, Nasir Hussain,siblings
Altaf Hussain Biography, Afzaa Altaf,children
Sam Rainsy Biography, Tioulong Saumura,Spouse/Ex-
Sam Rainsy Biography, Sam Sary,father
Sam Rainsy Biography, In Em,mother
Sam Rainsy Biography, Patrice Muriel Rachel,children
Syama Prasad Mookerjee Biography, Sudha Devi,Spouse/Ex-
Syama Prasad Mookerjee Biography, Sir Ashutosh Mukherjee,father
Syama Prasad Mookerjee Biography, Lady Jogamaya Devi Mukherjee,mother
John Henninger Reagan Biography, Edwina Moss Nelms Reagan,Spouse/Ex-
John Henninger Reagan Biography, Timothy Richard,father
John Henninger Reagan Biography, Elizabeth (Lusk) Reagan,mother
Adolfo Rodríguez Saá Biography, María Alicia Mazzarino,Spouse/Ex-
Adolfo Rodríguez Saá Biography, Carlos Juan Rodríguez Saá,father
Adolfo Rodríguez Saá Biography, Lilia Esther Páez Montero,mother
Adolfo Rodríguez Saá Biography, Alberto Rodríguez Saá,siblings
Lennart Meri Biography, Helle Meri,Spouse/Ex-
Michael Collins Biography, Michael,father
Michael Collins Biography," Hannie, Helena",siblings
Marc Antony Biography," Antonia Hybrida Minor, Fulvia (46BC – 40BC), Octavia the Younger (40BC – 32BC)",Spouse/Ex-
Marc Antony Biography, Marcus Antonius Creticus,father
Marc Antony Biography, Julia Antonia,mother
Marc Antony Biography, Cleopatra (m. 40 BC–30 BC),siblings
Marc Antony Biography," Alexander Helios, Antonia Major, Antonia Minor, Cleopatra Selene, Iullus Antonius, Marcus Antonius Antyllus, Ptolemy Philadelphus",children
Scott Brown Biography, Gail Huff,Spouse/Ex-
Scott Brown Biography, Claude Bruce Brown,father
Scott Brown Biography, Judith Ann Rugg,mother
Scott Brown Biography," Arianna Brown, Ayla Brown",children
Carl Stokes Biography," Raija Kostadinov, Shirley Edwards",Spouse/Ex-
Carl Stokes Biography, Charles Stokes,father
Carl Stokes Biography, Louise (Stone) Stokes,mother
Carl Stokes Biography," Carl Stokes Jr., Cordell Stokes, Cordi Stokes, Cynthia Stokes, Sasha Kostadinov (stepson)",children
Stephen Lewis Biography, Michele Landsberg,Spouse/Ex-
Stephen Lewis Biography, David Lewis,father
Stephen Lewis Biography, Sophie Lewis (née Carson),mother
Stephen Lewis Biography," Avi Lewis, Jenny Leah Lewis, Naomi Landsberg-Lewis",children
George W. Norris Biography," Ellie Leonard, Pluma Lashley",Spouse/Ex-
Otto Pérez Molina Biography, Rosa María Leal,Spouse/Ex-
Otto Pérez Molina Biography," Lissette Pérez, Otto Pérez Leal",children
Mustafa Kemal Ataturk Biography, Latife Uşşaki (m. 1923–1925),Spouse/Ex-
Mustafa Kemal Ataturk Biography, Ali Rıza Efendi,father
Mustafa Kemal Ataturk Biography, Zübeyde Hanım,mother
Mustafa Kemal Ataturk Biography, Makbule Atadan,siblings
Mustafa Kemal Ataturk Biography," Afet İnan, Fikriye Atatürk, Mustafa Atatürk, Nebile Bayyurt, Rukiye Erkin, Sabiha Gökçen, Ülkü Adatepe, Zehra Aylin",children
Lyman Hall Biography," Abigail Burr, Mary Osborne",Spouse/Ex-
Lyman Hall Biography, John Hall,father
Lyman Hall Biography, Mary Hall,mother
Robert Treat Paine Biography, Sally Cobb,Spouse/Ex-
Robert Treat Paine Biography, Thomas Paine,father
Robert Treat Paine Biography, Eunice Paine,mother
Robert Treat Paine Biography," Jr., Robert Treat Paine",children
Mauricio Funes Biography, Vanda Pignato,Spouse/Ex-
Mauricio Funes Biography, Gabriel Funes Pignato,children
Emil Constantinescu Biography, Ileana Constantinescu,Spouse/Ex-
Emil Constantinescu Biography," Dragos, Norina Boru",children
Fatos Nano Biography," Rexhina Nano, Xhoana Nano",Spouse/Ex-
Fatos Nano Biography, Thanas Nano,father
Fatos Nano Biography, Maria Nano,mother
Fatos Nano Biography, Sokol Edlira Klajdi (step-son),children
Alva Myrdal Biography, Gunnar Myrdal,Spouse/Ex-
Alva Myrdal Biography," Jan Myrdal, Kaj Fölster, Sissela Bok",children
Don Dunstan Biography," Adele Koh, Gretel Dunstan",Spouse/Ex-
Don Dunstan Biography," Andrew Dunstan, Bronwen Dunstan, Paul Dunstan",children
Hanan Ashrawi Biography, Emil Ashrawi,Spouse/Ex-
Hanan Ashrawi Biography, Daoud Mikhail,father
Hanan Ashrawi Biography," Amal Ashrawi, Zeina Ashrawi",children
Budd Dwyer Biography, Joanne Grappy (m. 1963; his death 1987),Spouse/Ex-
Budd Dwyer Biography, Robert Malcolm Dwyer,father
Budd Dwyer Biography, Alice Mary Budd Dwyer,mother
Budd Dwyer Biography," Dyan Dwyer, Robert Dwyer",children
Htin Kyaw Biography, Su Su Lwin (m. 1973),Spouse/Ex-
Htin Kyaw Biography, Min Thu Wun,father
Htin Kyaw Biography, Kyi Kyi,mother
Antonis Samaras Biography, Georgia Kretikos,Spouse/Ex-
Antonis Samaras Biography, Konstantinos Samaras,father
Antonis Samaras Biography, Lena Zannas,mother
Antonis Samaras Biography, Alexander Samaras,siblings
Antonis Samaras Biography," Kostas Samaras, Lena Samaras",children
Francis Hopkinson Biography, Ann Borden,Spouse/Ex-
Francis Hopkinson Biography, Thomas Hopkinson,father
Francis Hopkinson Biography, Mary Johnson,mother
Francis Hopkinson Biography, Joseph Hopkinson,children
Joaquim Chissano Biography, Marcelina Chissano,Spouse/Ex-
Joaquim Chissano Biography, Nyimpine Chissano,children
Luther Martin Biography, Maria Cresap,Spouse/Ex-
Maulana Abul Kalam Azad Biography, Zulaikha Begum,Spouse/Ex-
Ranil Wickremasinghe Biography, Maitree Wickremasinghe,Spouse/Ex-
Ranil Wickremasinghe Biography, Esmond Wickremesinghe,father
Ranil Wickremasinghe Biography, Nalini Wickremesinghe,mother
Laura Chinchilla Biography," José María Rico, Mario Alberto Madrigal Díaz",Spouse/Ex-
Laura Chinchilla Biography, Rafael Ángel Chinchilla Fallas,father
Laura Chinchilla Biography, Emilce Miranda Castillo,mother
Laura Chinchilla Biography, José María Rico Chinchilla,children
Marwan Barghouti Biography, Fadwa Barghouti,Spouse/Ex-
Tengku Razaleigh Hamzah Biography, Cik Puan Nur Abdullah,Spouse/Ex-
Tengku Razaleigh Hamzah Biography, Tengku Seri Maharaja Kelantan,father
"Robert M. La Follette, Sr. Biography", Belle Case La Follette,Spouse/Ex-
"Robert M. La Follette, Sr. Biography"," Fola La Follette, Philip La Follette, Robert M. La Follette Jr.",children
George Wythe Biography," Ann Wythe, Elizabeth Taliaferro",Spouse/Ex-
George Wythe Biography, Margaret Walker,mother
Dr Zakir Husain Biography, Shah Jahan Begum,Spouse/Ex-
Dr Zakir Husain Biography, Fida Husain Khan,father
Dr Zakir Husain Biography, Naznin Begum,mother
Johannes Rau Biography, Christina Rau,Spouse/Ex-
Pavel Grudinin Biography," Anton Grudinin, Artyom Grudinin",children
Eduardo Duhalde Biography, Hilda de Duhalde,Spouse/Ex-
Eduardo Duhalde Biography, Tomás Duhalde Gorostegui,father
Eduardo Duhalde Biography, María Ester Maldonado Aguirre,mother
Eduardo Duhalde Biography," Agustina Duhalde González, Analía Duhalde González, Juliana Duhalde González, María Eva Duhalde González, Tomás Duhalde González",children
Fernando de la Rúa Biography, Inés Pertiné,Spouse/Ex-
Fernando de la Rúa Biography, Antonio De la Rúa,father
Fernando de la Rúa Biography, Eleonora Bruno,mother
Fernando de la Rúa Biography, Antonio,children
Anatoly Chubais Biography," Avdotya Smirnova, Ljudmila Chubais, Marija Davidovna Vishnevskaja",Spouse/Ex-
Anatoly Chubais Biography, Boris Matveevich Chubays,father
Anatoly Chubais Biography, Raisa Efimovna Sagal,mother
Anatoly Chubais Biography, Igor Borisovich Chubays,siblings
Anatoly Chubais Biography," Aleksej Chubais, Olga Chubais",children
Kem Sokha Biography, Te Chanmono,Spouse/Ex-
Kem Sokha Biography, Kem Monovithya Kem Samathida,children
Abdou Diouf Biography, Elisabeth Diouf,Spouse/Ex-
Abdou Diouf Biography," Fabienne Diouf, Yacine Diouf",children
Valdas Adamkus Biography, Alma Adamkienė,Spouse/Ex-
Maximilien de Robespierre Biography, Maximilien Barthélémy François de Robespierre,father
Maximilien de Robespierre Biography, Jacqueline Marguerite Carrault,mother
Maximilien de Robespierre Biography, Augustin Robespierre,siblings
Norodom Ranariddh Biography, Ouk Phalla,Spouse/Ex-
Norodom Ranariddh Biography, Norodom Sihanouk,father
Norodom Ranariddh Biography, Phat Kanhol,mother
Norodom Ranariddh Biography, Norodom Sihamoni,siblings
Norodom Ranariddh Biography, Norodom Rattana Devi,children
Gopinath Bordoloi Biography, Surabala Devi,Spouse/Ex-
Gopinath Bordoloi Biography, Buddheswar Bordoloi,father
Gopinath Bordoloi Biography, Praneswari Devi,mother
Antanas Smetona Biography, Sofija Chodakauskaitė,Spouse/Ex-
Antanas Smetona Biography," Birutė Smetonaitė, Julius Smetona",children
Kamla Persad-Bissessar Biography, Gregory Bissessar,Spouse/Ex-
Kamla Persad-Bissessar Biography, Kris Bissessar,children
John Bright Biography, Elizabeth Priestman,Spouse/Ex-
John Bright Biography, Jacob Bright,father
John Bright Biography, Martha Wood,mother
John Bright Biography, Jacob Bright,siblings
John Bright Biography, William Leatham Bright,children
Gustáv Husák Biography," Dagmar Husáková, Magda Husáková-Lokvencová, Viera Husáková",Spouse/Ex-
Dominique de Villepin Biography, Marie-Laure Le Guay,Spouse/Ex-
Dominique de Villepin Biography, Xavier de Villepin,father
Dominique de Villepin Biography," Arthur de Villepin, Marie de Villepin, Victoire de Villepin",children
Maumoon Abdul Gayoom Biography, Nasreena Ibrahim,Spouse/Ex-
Maumoon Abdul Gayoom Biography, Abdul Qayyoom Ibrahim,father
Maumoon Abdul Gayoom Biography," Abdulla Hameed, Abdulla Yameen",siblings
Maumoon Abdul Gayoom Biography, Dunya Maumoon,children
Abdoulaye Wade Biography, Viviane Wade,Spouse/Ex-
Abdoulaye Wade Biography," Karim, Sindjely",children
Josiah Bartlett Biography, Mary Bartlett,Spouse/Ex-
Josiah Bartlett Biography, Stephen,father
Josiah Bartlett Biography, Hannah Bartlett,mother
Josiah Bartlett Biography, Josiah Bartlett Jr.,children
Milan Rastislav Štefánik Biography, Albertína Jurenková,mother
Jennifer Carroll Biography, Nolan Carroll,children
Francisco Solano López Biography, Eliza Lynch,Spouse/Ex-
Francisco Solano López Biography, Carlos Antonio López,father
James R. Thompson Biography, Jayne Ann Carr Thompson,Spouse/Ex-
Abba Eban Biography, Susan Ambache,Spouse/Ex-
Caesar Rodney Biography, Thomas Rodney,siblings
Stephen F. Lynch Biography, Margaret Shaughnessy Lynch (m. 1992),Spouse/Ex-
Stephen F. Lynch Biography, Francis Lynch,father
Stephen F. Lynch Biography, Anne Havlin,mother
Stephen F. Lynch Biography, Victoria Bailey Lynch,children
Simon Bolivar Biography, María Teresa Rodríguez del Toro y Alaysa,Spouse/Ex-
Simon Bolivar Biography, Coronel Don Juan Vicente Bolívar y Ponte,father
Simon Bolivar Biography, Doña María de la Concepción Palacios y Blanco,mother
Simon Bolivar Biography, María Antonia - Juana - Juan Vicente,siblings
Girija Prasad Koirala Biography, Sushma Koirala,Spouse/Ex-
Girija Prasad Koirala Biography, Krishna Prasad Koirala,father
Girija Prasad Koirala Biography, Bishweshwar Prasad Koirala,siblings
Girija Prasad Koirala Biography, Sujata Koirala,children
Henry Parkes Biography," Clarinda Varney, Eleanor Dixon, Julia Lynch",Spouse/Ex-
